X,population,gdp_per_capita,human_development_index,v2x_libdem,v2x_freexp_altinf,median_age,aged_70_older,life_expectancy,stringency_index,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,democracy,PR.rating,CL.rating,Total,democ,autoc,polity,polity2,area_ifr,pop.2020,pop.adult,pop.60plus,cases,new_cases_7dma,cases.100k.pop,new.cases.100k.pop,deaths,cfr,total.vaccinations,first.dose,second.dose,first.dose.pct,second.dose.pct,vaccinations.perday.100k.pop,log_gdp_ppp,case_ir,death_r,pred_ir,pred_ir_low,pred_ir_high,pred_cases,pred_cases_low,pred_cases_high,iso3c,region,date
41419,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,2.571,0.13630565549183,1698,90.0221715383612,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1333,2.57142857142857,70.6711158189844,0.136328376887978,33,2.476,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.06711158189844e-4,1.74954750339571e-5,0.0735168783892973,0.0634104211054641,0.0862373917668995,138667.683051649,119604.863109969,162661.140825509,LVA,Europe,2020-08-22
41420,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,2.143,0.113614554538697,1692,89.7040719922893,0.1,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1337,2.14285714285714,70.8831821830324,0.113606980739981,33,2.468,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.08831821830324e-4,1.74954750339571e-5,0.0735297152109458,0.0634347765748851,0.0862373917668995,138691.895890316,119650.802445101,162661.140825509,LVA,Europe,2020-08-23
41421,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,2,0.106033182023983,1697,89.9691549473492,0.1,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1337,2,70.8831821830324,0.106033182023983,33,2.468,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.08831821830324e-4,1.74954750339571e-5,0.0735927659508176,0.0634988397240403,0.0862373917668995,138810.822321964,119771.638485164,162661.140825509,LVA,Europe,2020-08-24
41422,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0,0,2.714,0.143887028006544,1682,89.1739060821694,0.2,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1342,2.71428571428571,71.1482651380923,0.143902175603976,33,2.459,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.11482651380923e-4,1.74954750339571e-5,0.0736709568306984,0.063576807870696,0.0862373917668995,138958.306115977,119918.702159323,162661.140825509,LVA,Europe,2020-08-25
41423,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0,0,4.857,0.257501582545242,1700,90.1282047203852,0.3,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1360,4.85714285714286,72.1025637763082,0.257509156343958,33,2.426,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.21025637763082e-4,1.74954750339571e-5,0.0737524602302009,0.0636578145224868,0.0862373917668995,139112.037991125,120071.497067944,162661.140825509,LVA,Europe,2020-08-26
41424,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,5.571,0.295355428527804,1701,90.1812213113972,0.3,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1366,5.57142857142857,72.4206633223801,0.295378149923951,34,2.489,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.24206633223801e-4,1.8025640944077e-5,0.0738421557789976,0.0637463290749032,0.0862373917668995,139281.221914657,120238.45339374,162661.140825509,LVA,Europe,2020-08-27
41425,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,6.429,0.340843663616092,1764,93.5212665451527,0.4,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1375,6.42857142857143,72.897812641488,0.340820942219944,34,2.473,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.2897812641488e-4,1.8025640944077e-5,0.0739298830385325,0.0638330164488935,0.0862373917668995,139446.693247046,120401.963291936,162661.140825509,LVA,Europe,2020-08-28
41426,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,6.857,0.363534764569224,1805,95.6949467766443,0.4,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1381,6.85714285714286,73.21591218756,0.36354233836794,34,2.462,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.321591218756e-4,1.8025640944077e-5,0.0740172400450119,0.0639193384267942,0.0862373917668995,139611.466207382,120564.783979296,162661.140825509,LVA,Europe,2020-08-29
41427,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,8,0.42413272809593,1890,100.201357012664,0.4,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1393,8,73.8521112797039,0.42413272809593,34,2.441,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.38521112797039e-4,1.8025640944077e-5,0.0740766757799994,0.0639857978946775,0.0862373917668995,139723.574009587,120690.139960536,162661.140825509,LVA,Europe,2020-08-30
41428,1886202,25063.846,0.866,0.712,0.958,43.9,14.136,75.29,41.67,0.143,0.00758137251471475,8.429,0.446876845640075,1902,100.837556104807,0.4,1,1,2,89,8,0,8,8,0.952783942668027,1886202,1489709,520135,1396,8.42857142857143,74.0111610527399,0.446854124243927,34,2.436,NA,NA,NA,NA,NA,NA,-10.4482121319964,7.40111610527398e-4,1.8025640944077e-5,0.0741422762734722,0.0640578871449522,0.0862373917668995,139847.309791576,120826.114848583,162661.140825509,LVA,Europe,2020-08-31
